Topic,CPC_Code,Count,Percentage_in_Topic
0,G06F16/3329,83,17.93
0,G06F18/214,54,11.66
0,G06N5/041,54,11.66
0,G06F40/30,53,11.45
0,G06N20/00,50,10.8
1,G06F40/30,361,15.7
1,G06N20/00,353,15.35
1,G06F40/40,327,14.22
1,G06N3/045,246,10.7
1,G06N3/08,208,9.04
2,G06N3/045,24,13.95
2,G06N3/0455,22,12.79
2,G06N5/041,18,10.47
2,G06F40/30,17,9.88
2,G06N3/08,16,9.3
3,G06F40/30,63,12.38
3,G06F16/3329,60,11.79
3,G10L15/26,54,10.61
3,G06N5/041,48,9.43
3,Y02D10/00,44,8.64
4,Y02D10/00,62,12.5
4,G06F18/214,59,11.9
4,G06F16/3329,55,11.09
4,G06N5/04,55,11.09
4,G06N5/041,55,11.09
5,G06N5/022,113,28.75
5,G06F16/367,108,27.48
5,G06F16/3329,73,18.58
5,G06F40/30,67,17.05
5,G06N5/041,60,15.27
6,G06F16/3329,61,13.09
6,G06F40/30,55,11.8
6,G06N5/041,45,9.66
6,G06N3/045,36,7.73
6,G06N3/08,32,6.87
7,G06F16/9535,33,12.09
7,G06F40/30,28,10.26
7,G06N20/00,28,10.26
7,G06F16/3329,24,8.79
7,G06N5/041,21,7.69
8,G06F40/30,33,14.1
8,Y02D10/00,31,13.25
8,G06F16/3329,28,11.97
8,G06F16/3344,21,8.97
8,G06N5/041,20,8.55
9,G06F11/3684,57,16.76
9,G06F11/3688,43,12.65
9,G06N5/041,29,8.53
9,G06F21/577,29,8.53
9,Y02D10/00,27,7.94
10,G06F16/3344,44,16.3
10,G06F16/3329,43,15.93
10,Y02D10/00,40,14.81
10,G06F40/30,35,12.96
10,G06N5/041,34,12.59
11,G06F16/3329,111,13.84
11,Y02D10/00,97,12.09
11,G06F40/30,85,10.6
11,G06N5/041,82,10.22
11,G06F16/3344,74,9.23
12,G06N20/00,27,12.5
12,G06F40/30,15,6.94
12,G06N5/041,14,6.48
12,G06N3/045,12,5.56
12,G06N5/04,12,5.56
13,G06F16/3329,188,27.73
13,G06N5/041,103,15.19
13,Y02D10/00,101,14.9
13,G06F16/3344,91,13.42
13,G06F18/214,82,12.09
14,G06F16/3329,241,46.8
14,Y02D10/00,115,22.33
14,G06F16/3344,98,19.03
14,G06N5/041,84,16.31
14,G06F40/30,75,14.56
15,G06N3/0455,50,15.77
15,G06V10/82,40,12.62
15,G06N3/08,36,11.36
15,G06N3/0464,35,11.04
15,G06F40/30,33,10.41
16,G06N3/0455,26,13.98
16,G06F40/30,25,13.44
16,G06N3/045,24,12.9
16,G06N3/08,23,12.37
16,G06N5/041,19,10.22
