topic_id,top_keywords
0,"training, data, learning, medical, patient, record, fine, chinese, trained, pre, time, tuning, improved, medicine, set"
1,"one, data, first, may, least, using, includes, input, generate, plurality, user, query, llm, associated, systems"
2,"matrix, reasoning, network, object, first, value, memory, point, key, weight, calculation, layer, communication, cache, attention"
3,"text, image, information, target, description, document, vector, obtain, feature, audio, data, recognition, video, corresponding, voice"
4,"data, set, training, first, candidate, word, text, obtain, sample, second, statement, prompt, classification, fine, query"
5,"knowledge, graph, data, entity, base, target, information, field, obtain, retrieval, query, vector, constructing, improved, text"
6,"target, information, technical, field, corresponding, determining, equipment, resource, processing, relates, intelligence, task, artificial, models, scheme"
7,"content, video, user, information, recommendation, current, target, generation, corresponding, object, commodity, message, page, recommended, command"
8,"text, target, medical, information, result, data, word, processing, obtain, query, field, first, diagnosis, index, medium"
9,"code, test, control, information, interaction, case, agent, generation, function, analysis, time, vulnerability, detection, instruction, intelligent"
10,"information, user, event, query, search, retrieval, report, security, database, generating, input, generation, data, list, related"
11,"data, information, user, target, service, processing, operation, equipment, dialogue, analysis, result, corresponding, obtain, improved, business"
12,"system, user, application, interface, data, agent, response, power, api, llm, prompt, management, client, platform, intelligent"
13,"first, target, task, second, information, sample, text, result, sub, processing, corresponding, obtain, tool, sequence, intention"
14,"question, answer, data, problem, user, questions, answering, table, answers, target, vector, knowledge, retrieval, corresponding, text"
15,"multi, feature, modal, data, image, evaluation, features, module, text, obtain, result, visual, semantic, detection, training"
16,"risk, data, voice, service, assessment, input, prompt, representation, time, speech, clinical, llm, signal, plurality, network"
