Applicant,Patents
BEIJING BAIDU NETCOM SCI & TECH CO LTD,321
NVIDIA CORP,300
MICROSOFT TECHNOLOGY LICENSING LLC,226
GOOGLE LLC,209
ALIPAY HANGZHOU TECH CO LTD,126
UNIV TSINGHUA,126
IFLYTEK CO LTD,112
TENCENT TECH SHENZHEN CO LTD,106
CHINA MOBILE COMMUNICATIONS GROUP CO LTD,93
CHINA TELECOM CO LTD,81
UNIV ZHEJIANG,74
PING AN TECH SHENZHEN CO LTD,63
INDUSTRIAL & COMMERCIAL BANK OF CHINA CO LTD,60
INST AUTOMATION CAS,55
CISCO TECH INC,52
ZHEJIANG LAB,50
BEIJING QIYI CENTURY SCIENCE & TECHNOLOGY CO LTD,48
SHANDONG INSPUR SCIENCE RESEARCH INSTITUTE CO LTD,47
BAIDU ONLINE NETWORK TECHNOLOGY BEIJING CO LTD,41
SAMSUNG ELECTRONICS CO LTD,37
