topic,jurisdiction,n_docs
0,CN,413
0,EP,1
0,JP,1
0,US,33
0,WO,15
1,AU,1
1,CN,27
1,EP,81
1,GB,5
1,JP,7
1,KR,1
1,US,1639
1,WO,539
2,CN,140
2,EP,1
2,US,20
2,WO,11
3,CN,473
3,EP,4
3,JP,2
3,US,18
3,WO,12
4,CN,479
4,EP,1
4,JP,1
4,US,11
4,WO,4
5,CN,378
5,EP,3
5,JP,1
5,US,5
5,WO,6
6,CN,437
6,EP,2
6,KR,2
6,US,16
6,WO,9
7,CN,260
7,EP,2
7,US,6
7,WO,5
8,CN,227
8,EP,1
8,US,1
8,WO,5
9,CN,304
9,EP,2
9,US,22
9,WO,12
10,CN,256
10,EP,1
10,KR,3
10,US,4
10,WO,6
11,CN,773
11,US,15
11,WO,14
12,CN,99
12,EP,4
12,US,81
12,WO,32
13,CN,654
13,EP,1
13,US,16
13,WO,7
14,CN,490
14,JP,2
14,KR,7
14,US,10
14,WO,6
15,CN,311
15,US,2
15,WO,4
16,CN,167
16,JP,1
16,US,12
16,WO,6
