topic,jurisdiction,n_docs
0,CN,413
0,US,33
0,WO,15
0,EP,1
0,JP,1
1,US,1639
1,WO,539
1,EP,81
1,CN,27
1,JP,7
1,GB,5
1,AU,1
1,KR,1
2,CN,140
2,US,20
2,WO,11
2,EP,1
3,CN,473
3,US,18
3,WO,12
3,EP,4
3,JP,2
4,CN,479
4,US,11
4,WO,4
4,EP,1
4,JP,1
5,CN,378
5,WO,6
5,US,5
5,EP,3
5,JP,1
6,CN,437
6,US,16
6,WO,9
6,EP,2
6,KR,2
7,CN,260
7,US,6
7,WO,5
7,EP,2
8,CN,227
8,WO,5
8,EP,1
8,US,1
9,CN,304
9,US,22
9,WO,12
9,EP,2
10,CN,256
10,WO,6
10,US,4
10,KR,3
10,EP,1
11,CN,773
11,US,15
11,WO,14
12,CN,99
12,US,81
12,WO,32
12,EP,4
13,CN,654
13,US,16
13,WO,7
13,EP,1
14,CN,490
14,US,10
14,KR,7
14,WO,6
14,JP,2
15,CN,311
15,WO,4
15,US,2
16,CN,167
16,US,12
16,WO,6
16,JP,1
