document_id,year,family_size,citations
007-377-928-268-106,2023,1,1
007-581-831-160-981,2023,2,2
007-942-049-972-729,2023,2,0
007-966-166-045-736,2023,1,1
014-453-014-059-573,2023,1,4
017-767-757-571-544,2023,2,4
029-266-190-860-192,2023,1,2
035-197-074-370-437,2023,2,0
038-780-248-486-657,2023,1,0
052-635-147-528-906,2023,2,3
056-936-436-817-741,2023,1,7
057-000-238-717-297,2023,2,2
059-937-658-461-668,2023,2,15
102-635-282-325-118,2023,1,1
104-182-885-039-982,2023,2,3
109-566-725-314-847,2023,2,5
113-205-040-914-883,2023,2,2
115-596-128-356-699,2023,1,2
119-961-947-664-52X,2023,1,1
125-784-867-409-898,2023,1,0
132-523-646-816-324,2023,1,1
140-879-311-787-24X,2023,1,5
147-746-524-654-921,2023,1,3
149-643-549-722-717,2023,1,2
150-483-941-718-558,2023,3,2
152-927-259-327-623,2023,3,2
155-695-509-737-57X,2023,1,3
159-154-767-240-260,2023,2,5
164-697-328-253-125,2023,1,1
169-312-561-835-940,2023,1,0
177-356-027-962-469,2023,1,6
188-003-333-241-286,2023,1,5
192-556-725-836-021,2023,1,2
197-407-016-003-628,2023,2,0
000-508-126-899-769,2024,1,0
001-566-143-027-139,2024,1,7
001-883-540-852-537,2024,1,0
002-270-982-896-945,2024,1,2
003-256-776-744-567,2024,1,3
003-794-048-963-479,2024,3,1
004-076-780-642-174,2024,2,0
006-322-036-038-79X,2024,1,1
006-632-494-962-836,2024,1,0
007-834-026-325-416,2024,2,9
008-806-617-370-110,2024,1,1
008-808-981-542-969,2024,1,1
009-647-430-215-285,2024,1,0
009-900-625-337-342,2024,1,0
011-391-888-477-063,2024,1,0
012-269-417-122-220,2024,2,1
012-604-895-800-642,2024,1,1
019-443-815-061-318,2024,2,0
020-623-220-052-184,2024,2,0
020-759-750-296-349,2024,1,1
022-366-328-695-884,2024,1,0
026-929-718-736-567,2024,1,3
027-253-928-760-652,2024,1,0
027-430-949-293-840,2024,1,1
027-801-493-063-712,2024,2,1
027-849-166-759-942,2024,1,0
028-145-737-565-625,2024,1,0
029-310-721-022-952,2024,1,1
029-686-193-147-000,2024,1,1
029-964-693-399-615,2024,1,0
030-493-634-254-368,2024,2,1
032-606-169-293-812,2024,1,0
033-668-087-693-150,2024,1,0
035-363-698-791-708,2024,1,0
035-580-946-677-981,2024,1,0
036-499-665-616-689,2024,2,0
036-932-122-149-310,2024,1,4
037-039-238-050-499,2024,1,1
037-933-013-819-451,2024,1,6
038-948-807-284-987,2024,1,0
040-978-421-163-436,2024,1,6
042-244-035-747-660,2024,2,1
042-454-794-584-474,2024,1,3
042-512-928-557-969,2024,1,0
044-281-520-467-254,2024,1,3
047-884-440-388-822,2024,1,4
049-584-489-135-648,2024,1,0
049-872-706-427-054,2024,1,1
050-272-726-967-628,2024,1,0
050-742-249-007-846,2024,2,0
050-959-557-438-012,2024,1,1
051-057-474-925-353,2024,2,3
052-642-970-924-230,2024,3,1
053-010-439-437-711,2024,1,2
054-430-645-270-294,2024,1,1
055-298-068-203-067,2024,1,0
055-665-419-500-63X,2024,1,4
057-657-370-994-538,2024,2,2
058-132-666-512-344,2024,2,2
059-329-617-903-563,2024,1,0
059-813-044-835-026,2024,1,2
060-360-700-243-974,2024,3,3
060-690-362-165-169,2024,1,0
061-176-917-691-627,2024,1,2
061-670-385-335-886,2024,1,3
065-592-014-649-960,2024,1,2
066-008-499-820-113,2024,1,0
066-740-455-021-288,2024,1,2
067-328-890-489-397,2024,1,1
067-668-005-247-418,2024,1,4
068-101-953-869-128,2024,2,2
068-946-113-125-77X,2024,1,2
070-033-978-047-198,2024,2,0
070-091-681-077-850,2024,1,0
070-212-344-138-948,2024,1,0
070-452-931-742-624,2024,2,1
072-392-048-979-842,2024,1,6
073-915-344-880-587,2024,1,0
075-093-634-196-225,2024,6,0
075-310-563-200-968,2024,1,3
075-459-652-316-511,2024,2,1
080-317-139-518-355,2024,2,1
080-459-983-247-937,2024,1,1
080-464-228-020-049,2024,1,2
081-279-242-281-490,2024,1,1
082-264-464-217-296,2024,2,6
082-606-061-650-842,2024,1,0
082-826-492-222-019,2024,2,0
082-878-428-968-769,2024,1,0
083-548-578-123-774,2024,1,0
084-162-366-890-829,2024,3,4
084-763-838-992-940,2024,1,4
085-145-539-713-313,2024,2,1
086-051-652-133-408,2024,2,1
086-981-768-181-218,2024,1,1
087-094-967-477-818,2024,1,2
087-790-830-334-399,2024,1,2
088-714-675-421-485,2024,1,1
088-844-005-171-11X,2024,1,0
089-454-300-421-612,2024,1,2
091-305-313-725-335,2024,1,0
093-187-767-364-640,2024,1,3
093-189-901-751-078,2024,1,2
094-278-784-962-546,2024,1,1
094-911-823-762-581,2024,2,3
095-899-636-675-957,2024,1,0
096-336-182-028-532,2024,1,0
097-897-031-294-493,2024,1,0
098-072-680-180-330,2024,2,1
098-860-199-847-087,2024,2,2
100-758-892-890-576,2024,1,1
100-993-848-608-617,2024,1,0
101-786-141-748-696,2024,1,0
102-114-175-628-910,2024,1,1
106-013-167-766-080,2024,1,0
107-204-246-560-257,2024,2,1
108-064-818-173-426,2024,2,1
108-193-235-838-618,2024,1,1
108-471-316-359-683,2024,1,0
110-253-246-195-578,2024,1,0
110-646-325-335-476,2024,1,2
111-665-360-366-42X,2024,1,4
111-853-134-190-620,2024,1,3
113-522-784-245-503,2024,1,0
114-624-328-223-996,2024,1,0
116-743-008-209-540,2024,1,4
117-687-522-963-135,2024,1,4
117-718-731-833-782,2024,1,0
117-850-694-439-003,2024,1,14
118-152-311-770-187,2024,2,0
119-245-399-229-211,2024,1,1
121-071-170-917-82X,2024,1,0
122-192-112-506-771,2024,1,1
123-263-773-777-829,2024,3,2
123-663-209-336-494,2024,1,0
124-473-112-554-291,2024,2,3
124-555-740-914-904,2024,1,0
