year,topic,n_docs
1996,1,1
1998,9,1
2001,0,1
2006,1,3
2009,5,1
2011,1,1
2012,4,1
2013,1,1
2013,3,1
2013,4,1
2013,12,1
2014,2,1
2014,3,2
2015,1,1
2015,9,2
2016,5,1
2017,1,1
2017,2,1
2019,1,3
2020,8,1
2021,1,2
2021,9,1
2022,1,1
2023,0,30
2023,1,49
2023,2,9
2023,3,36
2023,4,20
2023,5,31
2023,6,34
2023,7,19
2023,8,11
2023,9,16
2023,10,17
2023,11,34
2023,12,11
2023,13,43
2023,14,38
2023,15,8
2023,16,2
2024,0,208
2024,1,491
2024,2,68
2024,3,217
2024,4,226
2024,5,161
2024,6,220
2024,7,116
2024,8,105
2024,9,128
2024,10,110
2024,11,341
2024,12,55
2024,13,335
2024,14,256
2024,15,142
2024,16,70
2025,0,224
2025,1,1746
2025,2,93
2025,3,253
2025,4,248
2025,5,199
2025,6,212
2025,7,138
2025,8,117
2025,9,192
2025,10,143
2025,11,427
2025,12,149
2025,13,300
2025,14,221
2025,15,167
2025,16,114
